pl_name,ra,dec,X,Y,Z
11 Com b,185.1787793,17.7932516,7.99226436578142,-14.138816900580427,-91.75830885603396
11 UMi b,229.2745954,71.8239428,-7.011659124221289,3.2385360355107915,-125.08277883734604
14 And b,352.82415,39.2358367,2.1136538379112837,62.01187954485658,42.908415950809484
14 Her b,242.6021014,43.8163621,-11.386415793254361,1.9069398632126737,-13.721534135482742
16 Cyg B b,295.4656422,50.5168243,3.179875300100775,0.8165021201493172,20.883214155239628
17 Sco b,243.4620874,-11.8377905,-93.22400066100643,-83.18971720247883,-1.4173431229847455
18 Del b,314.6078375,10.8391378,-5.15008447464689,-32.652255580298245,68.68114820984637
1RXS J160929.1-210524 b,242.3762343,-21.0831403,39.04709100464557,50.023047196417004,-123.82070771183616
24 Boo b,217.1555242,49.8446488,-32.95448808831344,14.749533500867233,-88.93718437208368
24 Sex b,155.8684866,-0.9023998,-41.8057078171597,52.94223616625031,25.364494838913142
24 Sex c,155.8684866,-0.9023998,-41.8057078171597,52.94223616625031,25.364494838913142
2M0437 b,69.3405531,26.8502997,-4.2013650140083065,28.42120525488282,125.23067467629043
2MASS J01033563-5515561 AB b,15.8992489,-55.2658291,,,
2MASS J01225093-2439505 b,20.7128012,-24.6646128,28.906891683737452,14.615718698388681,-9.752575543118963
2MASS J02192210-3925225 b,34.8427046,-39.4230767,,,
2MASS J0249-0557 c,42.4851627,-5.9599921,-62.471178540692826,-20.923912449485726,4.861799793609123
2MASS J03590986+2009361 b,59.7911026,20.1599759,-3.0435934168943715,-11.423846867814133,-116.83839902554882
2MASS J04414489+2301513 b,70.4371079,23.0308544,,,
2MASS J11011926-7732383 b,165.3295388,-77.5440912,,,
2MASS J11550485-7919108 b,178.7691634,-79.3197558,-21.302102069435776,21.07079868551626,-96.3087998792311
2MASS J12073346-3932539 b,181.8890906,-39.5484399,5.616963191921981,19.642113350938565,60.976683835786574
2MASS J19383260+4603591 b,294.6359173,46.0664076,121.43736208901029,-215.42223429375846,309.7180690317367
2MASS J21252752-8138278 b,321.3662989,-81.6414894,27.19991391770236,1.0863866427933986,20.56319440388437
2MASS J22362452+4751425 b,339.1025931,47.861683,9.693066020853557,8.811491131756275,68.32936284526848
30 Ari B b,39.2412736,24.6480103,39.496331875560706,-20.80030537343532,1.2785592467323739
4 UMa b,130.0528099,64.3280504,-5.191362213020067,-69.46110190545991,-23.33711114389571
42 Dra b,276.4975053,65.5633652,-3.1046387991333173,1.3496701402486524,90.59126877734651
47 UMa b,164.8647611,40.4304931,-12.622099580765774,5.489130954292558,0.9491967287447663
47 UMa c,164.8647611,40.4304931,-12.622099580765774,5.489130954292558,0.9491967287447663
47 UMa d,164.8647611,40.4304931,-12.622099580765774,5.489130954292558,0.9491967287447663
51 Eri b,69.4007424,-2.4738245,-6.585241578329424,-5.19330509635159,28.551234330257067
51 Peg b,344.3675399,20.7690958,4.9388661180246505,-13.583042827486535,5.4921251783708165
55 Cnc b,133.1468373,28.3298154,-11.711882048006618,-0.6504605436770095,4.561088710461542
55 Cnc c,133.1468373,28.3298154,-11.711882048006618,-0.6504605436770095,4.561088710461542
55 Cnc d,133.1468373,28.3298154,-11.711882048006618,-0.6504605436770095,4.561088710461542
55 Cnc e,133.1468373,28.3298154,-11.711882048006618,-0.6504605436770095,4.561088710461542
55 Cnc f,133.1468373,28.3298154,-11.711882048006618,-0.6504605436770095,4.561088710461542
6 Lyn b,97.6960311,58.1611753,0.6880545507484854,-16.486107601233446,-52.109879150749784
61 Vir b,199.596455,-18.3157745,-7.279853185728041,-4.302450707413538,0.8939275848311387
61 Vir c,199.596455,-18.3157745,-7.279853185728041,-4.302450707413538,0.8939275848311387
61 Vir d,199.596455,-18.3157745,-7.279853185728041,-4.302450707413538,0.8939275848311387
7 CMa b,99.171276,-19.2561808,-17.790868911838633,7.661181729122903,4.151064909770383
7 CMa c,99.171276,-19.2561808,-17.790868911838633,7.661181729122903,4.151064909770383
70 Vir b,202.1064898,13.7763085,5.465338294410789,14.482196919722249,8.991408728115655
75 Cet b,38.0391598,-1.0350269,14.12575214839915,-23.793006549717415,78.21082574207422
75 Cet c,38.0391598,-1.0350269,14.12575214839915,-23.793006549717415,78.21082574207422
8 UMi b,224.201685,74.9009379,-130.31948007119138,70.73525542674251,-66.60712767930953
81 Cet b,39.4243555,-3.3963607,-96.82508512930302,25.21587336534157,-15.577234033238591
91 Aqr b,348.9745031,-9.0878076,10.59112143790613,3.710406420568365,-42.57625106842699
AB Aur b,73.9410446,30.5510888,-104.50393568278925,122.58155297680337,18.380816782792994
AB Pic b,94.8039208,-58.0541184,1.725251697644815,-26.364329746994635,42.505268847773536
AF Lep b,81.7699216,-11.9011752,1.8678755943065692,1.4652802368300721,26.751265681304673
AU Mic b,311.2911369,-31.34245,-2.618548705544185,-0.19274888385013447,-9.360837513517014
AU Mic c,311.2911369,-31.34245,-2.618548705544185,-0.19274888385013447,-9.360837513517014
AU Mic d,311.2911369,-31.34245,-2.618548705544185,-0.19274888385013447,-9.360837513517014
BD+03 2562 b,177.5647268,2.7601075,-991.5835885910905,397.7597016238559,-69.26617862215899
BD+14 4559 b,318.4010002,14.6893834,23.074004492373046,-37.448134147346885,-22.3796217476583
BD+15 2375 b,176.4820239,14.6163182,-185.93286617649898,357.8849288819862,653.6363430681679
BD+15 2940 b,240.09564,15.5467507,-409.20461163861086,66.54643024529956,99.78564443496437
BD+20 2457 b,154.186782,19.8912626,-191.32625664539935,-327.2241517114782,-1492.3221844343007
BD+20 2457 c,154.186782,19.8912626,-191.32625664539935,-327.2241517114782,-1492.3221844343007
BD+20 274 b,25.9203179,21.0052692,-517.4512965550758,781.3902835426842,933.1163274632772
BD+20 594 b,53.6511231,20.5990205,7.706549609881016,-42.67333888458973,-174.14317604359758
BD+45 564 b,32.9470485,45.9242187,-19.431480818640313,49.932082884148166,2.12686060788453
BD+48 738 b,40.7102869,49.5869395,88.23080162931825,-71.13646836039702,-864.0919960062458
BD+48 740 b,40.7425426,48.9300579,15.234926552400163,-63.52734807506571,-663.3800328473058
BD+49 828 b,45.6406187,49.7299481,378.69919409666824,-224.71085008819895,-38.640445224827864
BD+55 362 b,23.9636676,56.6982282,-47.84442908556025,-7.209468551594908,20.554987880569524
BD+60 1417 b,190.8875453,60.0143636,-29.034969549701582,-9.754281184600107,-32.90461411883839
BD+63 1405 b,271.3979337,63.6700064,23.9061011777521,26.571530119836265,13.040289523615442
BD-06 1339 b,88.2511811,-5.9963378,5.495664459094291,1.6211263749110618,19.442794338253325
BD-06 1339 c,88.2511811,-5.9963378,5.495664459094291,1.6211263749110618,19.442794338253325
BD-08 2823 b,150.1971964,-9.5165689,23.215339770309168,-2.136962930877581,34.132059393203285
BD-08 2823 c,150.1971964,-9.5165689,23.215339770309168,-2.136962930877581,34.132059393203285
BD-10 3166 b,164.6191243,-10.7704227,-17.919961480340906,78.24118142071586,26.10971616168441
